Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Trial
134,28.0,20731.870607516164,8596.673104145519,90714.39414865019,-0.2347517540793054,-0.5986000897602187,2.859934710014063,1.0
135,29.0,21498.07363887689,8715.23351215219,92229.07304006012,1.075647479547645,0.712081531451439,-2.112511302334405,1.0
136,30.0,22269.291534505213,8856.808159970511,93800.96057483391,-1.3829894761692965,-1.7325197086132569,1.7130482344285707,1.0
137,31.0,23028.737292287384,9009.375516868799,95410.74841384027,-0.07686576843014957,-0.4392851171349079,3.0219588459312074,1.0
138,32.0,23775.168693484786,9155.042973524945,97063.40505705787,1.2173075978768673,0.8863293689473799,-1.951909752147447,1.0
139,33.0,24553.639152591328,9277.699705875493,98864.07993918273,2.531712427536065,2.182179637376057,-0.6410941459546496,1.0
140,34.0,25407.171851885494,9364.136966550559,100985.90381527174,-2.438675881284006,-2.791167277878828,0.6703351672100183,1.0
141,35.0,26324.84905553062,9419.27005051901,103419.14568419442,-1.131603252377223,-1.4776549419399532,1.9792552282745433,1.0
142,-35.0,7791.0628846547215,8096.183237366836,78634.88748417827,0.02671180189110515,-2.8854145233495854,0.5151653512025096,2.0
143,-34.0,7810.4027144239635,8094.971555127663,78210.0433752618,1.3472876305878823,-1.579793430576274,1.8251494912095876,2.0
144,-33.0,7784.043819546381,8053.775551586289,77794.88209549338,-2.3804690027650133,0.9550438307800052,-1.8910876943751769,2.0
145,-32.0,7716.918691132135,7984.575285568888,77408.54546606811,-2.3129971053221294,1.0264109942484696,-1.8373979032534768,2.0
146,-31.0,7651.714524100441,7934.117092601386,77061.06645222272,0.2516936654591348,-2.6612231165467892,0.7287025430558722,2.0
147,-30.0,7608.62795134822,7924.786441594006,76757.15576613428,0.2960130515280706,-2.63146229232569,0.7807748624496404,2.0
148,-29.0,7567.965794837357,7925.972537943823,76492.66123981093,-2.1410318523254883,1.2107089862385965,-1.6791503926470566,2.0
149,-28.0,7483.330761961586,7890.845019351628,76133.93331053037,1.6362568076959048,-1.2783302717906122,2.1457329189773886,2.0
150,-27.0,7289.838839841424,7785.545791087952,75287.20187783703,-0.7881202566274025,2.5591778619322536,-0.31333980276402223,2.0
151,-26.0,6966.973794755874,7595.030890425332,73625.15458999063,1.7589039785077147,-1.151924315397446,2.253313561720683,2.0
152,-25.0,6590.277836547084,7372.704999682529,71538.58134291893,-1.351685397476943,2.0430691957534117,-0.8327411860219217,2.0
153,-24.0,6258.591019438026,7221.4526085776,69886.87134634671,-1.3101582276624268,2.094344811358403,-0.7727101012665394,2.0
154,-23.0,6004.8820003775845,7167.055048728675,69007.03005584047,2.525806064157864,-0.37870178936200927,3.0463861824802625,2.0
155,-22.0,5808.156693388587,7156.498943461774,68693.51134381288,-2.486535903950813,0.9400616968575014,-1.9230125917822831,2.0
156,-21.0,5656.3913199125,7183.435469738723,68971.29051806756,1.3388229899481503,-1.5274932201081137,1.9004559681733184,2.0
157,-20.0,5556.7243296500765,7278.826516558224,70069.35076602125,1.350735687834403,-1.4646078913883627,1.9533413016692232,2.0
158,-19.0,5473.790997983705,7402.994552524264,71625.57951204956,2.033513515303185,-0.7676406388574578,2.6362494471484186,2.0
159,-18.0,5327.945756516569,7479.267124822837,72744.10600786064,-0.4581862382266765,3.044438123141826,0.1780640804295184,2.0
